Class combination;Number of classes;K worst features rejected;Mean Accuracy;Worst features labels
(1, 2, 3, 4, 5, 6);6;18;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 ZC30 VAR36 VAR9 SSC16 ZC14 VAR21 SSC13 SSC37 VAR13 VAR34 VAR33
(1, 2, 3, 4, 5, 6);6;19;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 SSC37 VAR21 VAR9 SSC16 VAR53 SSC13 VAR33 ZC30 ZC14 VAR13 VAR34 VAR36
(1, 2, 3, 4, 5, 6);6;20;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 SSC37 VAR21 VAR9 SSC16 VAR53 SSC13 VAR33 ZC30 ZC14 VAR13 VAR34 VAR36 MAV38
(1, 2, 3, 4, 5, 6);6;21;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 SSC37 VAR21 VAR9 SSC16 VAR53 SSC13 VAR33 ZC30 ZC14 VAR13 VAR34 VAR36 MAV38 WL37
(1, 2, 3, 4, 5, 6);6;22;0.68;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 SSC37 VAR21 VAR9 SSC16 VAR53 SSC13 VAR33 ZC30 ZC14 VAR13 VAR34 VAR36 MAV38 WL37 WL39
(1, 2, 3, 4, 5, 6);6;23;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 SSC37 VAR21 VAR9 SSC16 VAR53 SSC13 VAR33 ZC30 ZC14 VAR13 VAR34 VAR36 MAV38 WL38 WL37 WL39
(1, 2, 3, 4, 5, 6);6;24;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 SSC37 VAR21 VAR9 SSC16 VAR53 SSC13 VAR33 ZC30 ZC14 VAR13 VAR34 VAR36 MAV38 WL38 WL37 WL39 SSC39
(1, 2, 3, 4, 5, 6);6;25;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 SSC37 VAR21 VAR9 SSC16 VAR53 SSC13 VAR33 ZC30 ZC14 VAR13 VAR34 VAR36 MAV38 WL38 WL37 WL39 SSC39 MAV13
(1, 2, 3, 4, 5, 6);6;26;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 SSC37 VAR21 VAR9 SSC16 VAR53 SSC13 VAR33 ZC30 ZC14 VAR13 VAR34 VAR36 MAV38 WL38 WL37 WL39 SSC39 MAV13 MAV37
(1, 2, 3, 4, 5, 6);6;27;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 SSC37 VAR21 VAR9 SSC16 VAR53 SSC13 VAR33 ZC30 ZC14 VAR13 VAR34 VAR36 MAV38 WL38 WL37 WL39 SSC39 MAV13 VAR61 MAV37
(1, 2, 3, 4, 5, 6);6;28;0.68;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 SSC37 VAR21 VAR9 SSC16 VAR53 SSC13 VAR33 ZC30 ZC14 VAR13 VAR34 VAR36 MAV38 WL38 WL37 WL39 SSC39 MAV13 VAR61 MAV37 VAR35
(1, 2, 3, 4, 5, 6);6;29;0.68;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 SSC37 VAR21 VAR9 SSC16 VAR53 SSC13 VAR33 ZC30 ZC14 VAR13 VAR34 VAR36 MAV38 WL38 WL37 WL39 SSC39 MAV13 VAR61 MAV37 VAR35 MAV21
(1, 2, 3, 4, 5, 6);6;30;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 SSC37 VAR21 VAR9 SSC16 VAR53 SSC13 VAR33 ZC30 ZC14 VAR13 VAR34 VAR36 MAV38 WL38 WL37 WL39 SSC39 MAV13 VAR61 MAV37 VAR35 MAV21 SSC14
(1, 2, 3, 4, 5, 6);6;31;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 SSC37 VAR21 VAR9 SSC16 VAR53 SSC13 VAR33 ZC30 ZC14 VAR13 VAR34 VAR36 MAV38 WL38 WL37 WL39 SSC39 MAV13 VAR61 MAV37 VAR35 MAV21 SSC14 ZC46
(1, 2, 3, 4, 5, 6);6;32;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37
(1, 2, 3, 4, 5, 6);6;33;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5
(1, 2, 3, 4, 5, 6);6;34;0.68;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21
(1, 2, 3, 4, 5, 6);6;35;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR16
(1, 2, 3, 4, 5, 6);6;36;0.67;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR16 MAV39
(1, 2, 3, 4, 5, 6);6;37;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR16 MAV39 ZC37
(1, 2, 3, 4, 5, 6);6;38;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR16 MAV39 ZC37 VAR39
(1, 2, 3, 4, 5, 6);6;39;0.68;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR16 MAV39 ZC37 VAR39 MAV53
(1, 2, 3, 4, 5, 6);6;40;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16
(1, 2, 3, 4, 5, 6);6;41;0.68;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38
(1, 2, 3, 4, 5, 6);6;42;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33
(1, 2, 3, 4, 5, 6);6;43;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49
(1, 2, 3, 4, 5, 6);6;44;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53
(1, 2, 3, 4, 5, 6);6;45;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53
(1, 2, 3, 4, 5, 6);6;46;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 SSC46
(1, 2, 3, 4, 5, 6);6;47;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 SSC46 SSC40
(1, 2, 3, 4, 5, 6);6;48;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 ZC29 SSC40 SSC46
(1, 2, 3, 4, 5, 6);6;49;0.68;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 ZC29 SSC40 SSC46 ZC45
(1, 2, 3, 4, 5, 6);6;50;0.68;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 SSC40 SSC46 ZC13 ZC29 ZC45
(1, 2, 3, 4, 5, 6);6;51;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 SSC40 SSC46 ZC13 ZC29 ZC45 WL32
(1, 2, 3, 4, 5, 6);6;52;0.7;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 MAV61 ZC29 ZC13 SSC46 ZC45 SSC40 WL32
(1, 2, 3, 4, 5, 6);6;53;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 MAV61 ZC29 ZC13 SSC46 ZC45 SSC40 WL32 ZC53
(1, 2, 3, 4, 5, 6);6;54;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 MAV61 ZC29 ZC13 SSC46 ZC45 SSC40 WL32 ZC53 ZC50
(1, 2, 3, 4, 5, 6);6;55;0.68;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 ZC53 ZC45 ZC13 SSC46 WL40 ZC50 WL32 MAV61 SSC40 ZC29
(1, 2, 3, 4, 5, 6);6;56;0.67;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 ZC53 ZC45 ZC13 SSC46 WL40 ZC50 WL32 MAV61 SSC40 ZC29 ZC54
(1, 2, 3, 4, 5, 6);6;57;0.68;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 ZC53 ZC45 ZC13 SSC46 WL40 ZC50 WL32 MAV61 SSC40 ZC29 ZC54 WL22
(1, 2, 3, 4, 5, 6);6;58;0.68;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 ZC53 ZC45 ZC13 SSC46 WL40 ZC50 WL32 MAV61 SSC40 ZC29 ZC54 ZC22 WL22
(1, 2, 3, 4, 5, 6);6;59;0.68;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 ZC53 ZC45 ZC13 SSC46 WL40 ZC50 WL32 MAV61 SSC40 ZC29 ZC54 ZC22 WL22 SSC45
(1, 2, 3, 4, 5, 6);6;60;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 ZC53 ZC45 ZC13 SSC46 WL40 ZC50 WL32 MAV61 SSC40 ZC29 ZC54 VAR22 SSC45 ZC22 WL22
(1, 2, 3, 4, 5, 6);6;61;0.68;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 ZC53 ZC45 ZC13 SSC46 WL40 ZC50 WL32 MAV61 SSC40 ZC29 ZC54 VAR22 SSC45 ZC22 WL22 SSC25
(1, 2, 3, 4, 5, 6);6;62;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 ZC53 ZC45 ZC13 SSC46 WL40 ZC50 WL32 MAV61 SSC40 ZC29 ZC54 VAR22 SSC45 ZC22 WL22 SSC25 MAV56
(1, 2, 3, 4, 5, 6);6;63;0.68;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 ZC53 ZC45 ZC13 SSC46 WL40 ZC50 WL32 MAV61 SSC40 ZC29 ZC54 VAR22 SSC45 ZC22 WL22 SSC25 MAV56 SSC38
(1, 2, 3, 4, 5, 6);6;64;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 ZC53 ZC45 ZC13 SSC46 WL40 ZC50 WL32 MAV61 SSC40 ZC29 ZC54 VAR22 SSC45 ZC22 WL22 SSC25 SSC38 MAV56 SSC21
(1, 2, 3, 4, 5, 6);6;65;0.68;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 ZC53 ZC45 ZC13 SSC46 WL40 ZC50 WL32 MAV61 SSC40 ZC29 ZC54 VAR22 SSC45 ZC22 WL22 SSC25 SSC38 MAV56 SSC21 SSC61
(1, 2, 3, 4, 5, 6);6;66;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 ZC53 ZC45 ZC13 SSC46 WL40 ZC50 WL32 MAV61 SSC40 ZC29 ZC54 SSC45 MAV56 ZC22 WL22 MAV5 VAR22 SSC21 SSC61 SSC38 SSC25
(1, 2, 3, 4, 5, 6);6;67;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 ZC53 ZC45 ZC13 SSC46 WL40 ZC50 WL32 MAV61 SSC40 ZC29 ZC54 SSC45 MAV56 ZC22 WL22 MAV5 VAR22 SSC21 SSC61 SSC38 SSC25 VAR32
(1, 2, 3, 4, 5, 6);6;68;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 VAR21 WL38 VAR9 SSC16 SSC14 SSC13 MAV13 ZC30 MAV16 VAR13 MAV21 VAR61 MAV38 SSC39 ZC46 MAV37 SSC37 VAR36 VAR35 VAR34 ZC14 VAR33 VAR53 WL39 WL37 VAR5 ZC21 VAR39 ZC37 MAV53 MAV39 VAR45 VAR16 ZC38 MAV33 VAR49 WL53 SSC53 ZC53 ZC45 ZC13 SSC46 WL40 ZC50 WL32 MAV61 SSC40 ZC29 ZC54 SSC45 MAV56 ZC22 WL22 MAV5 VAR22 SSC21 SSC61 SSC38 SSC25 VAR32 VAR56
(1, 2, 3, 4, 5, 6);6;69;0.69;VAR39 ZC50 SSC61 VAR21 VAR13 VAR22 VAR9 VAR5 MAV56 SSC29 SSC25 MAV53 SSC30 ZC32 ZC30 ZC29 SSC22 SSC21 MAV39 MAV38 VAR45 WL22 MAV37 SSC37 VAR49 MAV33 VAR32 ZC22 ZC21 VAR53 VAR56 WL32 ZC37 ZC38 ZC39 ZC40 WL37 WL38 WL39 WL40 SSC53 VAR33 ZC14 VAR34 ZC13 ZC54 ZC53 VAR35 SSC38 VAR16 VAR36 VAR37 WL53 ZC46 ZC45 SSC39 VAR61 MAV21 MAV16 SSC40 MAV13 SSC13 MAV61 SSC14 SSC46 SSC16 SSC45 MAV5 VAR38
